i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
1,1.176555106,4.44E-06,0.000117046,0.000117046,1.66E-08,0.000142056,0,0,0
2,1.177876935,1.78E-05,0.000234354,0.000234354,1.33E-07,0.000567577,3.627364978,0.000992144,0.000117309
3,1.179187939,4.00E-05,0.000351923,0.000351923,4.49E-07,0.001275598,6.022207663,0.002686928,0.000117568
4,1.180488302,7.11E-05,0.000469748,0.000469748,1.06E-06,0.002265157,8.398551793,0.005220798,0.000117825
5,1.181778202,0.000111092,0.000587826,0.000587826,2.08E-06,0.003535296,10.75672769,0.008588243,0.000118079
6,1.183057815,0.000159964,0.000706155,0.000706155,3.59E-06,0.005085057,13.09705033,0.012783845,0.000118329
7,1.18432731,0.000217715,0.000824732,0.000824732,5.70E-06,0.006913486,15.41982012,0.017802271,0.000118577
8,1.185586853,0.000284343,0.000943553,0.000943553,8.51E-06,0.00901963,17.72532362,0.023638266,0.000118821
9,1.186836606,0.000359842,0.001062616,0.001062616,1.21E-05,0.011402539,20.01383416,0.03028665,0.000119063
10,1.188076726,0.00044421,0.001181918,0.001181918,1.66E-05,0.01406126,22.28561256,0.037742308,0.000119302
11,1.189307368,0.000537441,0.001301457,0.001301457,2.21E-05,0.016994843,24.54090769,0.046000186,0.000119538
12,1.190528683,0.000639531,0.001421229,0.001421229,2.87E-05,0.020202338,26.77995703,0.05505529,0.000119772
13,1.191740817,0.000750472,0.001541232,0.001541232,3.65E-05,0.023682793,29.00298723,0.064902675,0.000120003
14,1.192943914,0.00087026,0.001661464,0.001661464,4.56E-05,0.027435258,31.21021464,0.075537444,0.000120232
15,1.194138113,0.000998887,0.001781922,0.001781922,5.61E-05,0.031458778,33.40184576,0.086954745,0.000120458
16,1.195323552,0.001136346,0.001902604,0.001902604,6.80E-05,0.0357524,35.5780777,0.099149763,0.000120682
17,1.196500365,0.001282629,0.002023507,0.002023507,8.16E-05,0.040315168,37.73909867,0.11211772,0.000120903
18,1.197668682,0.001437729,0.002144629,0.002144629,9.68E-05,0.045146125,39.88508833,0.125853869,0.000121122
19,1.198828631,0.001601636,0.002265967,0.002265967,0.000113852,0.05024431,42.01621822,0.140353493,0.000121339
20,1.199980336,0.001774341,0.00238752,0.00238752,0.000132767,0.055608762,44.13265211,0.1556119,0.000121553
21,1.201123921,0.001955835,0.002509285,0.002509285,0.000153665,0.061238515,46.2345464,0.17162442,0.000121765
22,1.202259504,0.002146108,0.00263126,0.00263126,0.000176643,0.067132602,48.32205039,0.188386402,0.000121975
23,1.203387202,0.002345148,0.002753443,0.002753443,0.0002018,0.073290052,50.39530668,0.205893216,0.000122183
24,1.204507129,0.002552945,0.002875832,0.002875832,0.000229232,0.07970989,52.45445142,0.224140241,0.000122389
25,1.205619398,0.002769486,0.002998425,0.002998425,0.000259037,0.086391139,54.4996146,0.243122874,0.000122593
26,1.206724118,0.002994761,0.003121219,0.003121219,0.000291312,0.093332817,56.53092037,0.262836519,0.000122794
27,1.207821395,0.003228756,0.003244213,0.003244213,0.000326154,0.10053394,58.54848729,0.283276588,0.000122994
28,1.208911336,0.003471458,0.003367405,0.003367405,0.000363658,0.107993518,60.55242854,0.304438502,0.000123192
29,1.209994041,0.003722854,0.003490793,0.003490793,0.000403922,0.115710558,62.54285223,0.326317683,0.000123388
30,1.211069612,0.00398293,0.003614375,0.003614375,0.000447041,0.123684062,64.51986158,0.348909558,0.000123582
31,1.212138147,0.004251671,0.00373815,0.00373815,0.000493111,0.131913029,66.48355515,0.372209555,0.000123774
32,1.213199743,0.004529062,0.003862115,0.003862115,0.000542227,0.140396452,68.43402707,0.3962131,0.000123965
33,1.214254494,0.004815088,0.003986269,0.003986269,0.000594485,0.149133319,70.3713672,0.42091562,0.000124154
34,1.215302492,0.005109733,0.004110609,0.004110609,0.00064998,0.158122615,72.29566138,0.446312537,0.000124341
35,1.216343828,0.00541298,0.004235135,0.004235135,0.000708806,0.167363319,74.20699156,0.472399269,0.000124526
36,1.217378592,0.005724814,0.004359845,0.004359845,0.000771058,0.176854405,76.105436,0.499171228,0.00012471
37,1.218406869,0.006045215,0.004484737,0.004484737,0.000836829,0.186594844,77.99106944,0.526623822,0.000124892
38,1.219428746,0.006374168,0.004609809,0.004609809,0.000906213,0.196583598,79.86396323,0.55475245,0.000125072
39,1.220444305,0.006711653,0.00473506,0.00473506,0.000979303,0.206819626,81.72418554,0.583552502,0.000125251
40,1.22145363,0.007057653,0.004860488,0.004860488,0.001056193,0.217301884,83.57180146,0.61301936,0.000125428
