Year,Month,Day,Period,1,2,3,total,37655798.9
2020,1,1,1,985.0197922,1102.675901,1249.636191,3337.331884,
2020,1,1,2,985.7248887,1082.937195,1192.383739,3261.045823,
2020,1,1,3,1001.58956,1079.796946,1165.786144,3247.17265,
2020,1,1,4,1036.139287,1078.451125,1150.007909,3264.598321,
2020,1,1,5,1139.788471,1099.087045,1163.982917,3402.858433,
2020,1,1,6,1286.801089,1156.060129,1229.349889,3672.211107,
2020,1,1,7,1347.086838,1233.220526,1368.198355,3948.505719,
2020,1,1,8,1305.486145,1220.659531,1460.61373,3986.759406,
2020,1,1,9,1232.508659,1204.061074,1566.102499,4002.672232,
2020,1,1,10,1184.20955,1209.444357,1638.682379,4032.336286,
2020,1,1,11,1153.185304,1181.182119,1688.721923,4023.089346,
2020,1,1,12,1129.212024,1174.004407,1710.811452,4014.027883,
2020,1,1,13,1107.706581,1174.901621,1698.188864,3980.797066,
2020,1,1,14,1093.957199,1161.89202,1702.696931,3958.54615,
2020,1,1,15,1087.611331,1157.40595,1684.213856,3929.231137,
2020,1,1,16,1091.489362,1161.89202,1659.419488,3912.80087,
2020,1,1,17,1170.460168,1193.743113,1693.229991,4057.433272,
2020,1,1,18,1280.102672,1409.074453,1888.880101,4578.057226,
2020,1,1,19,1266.000742,1428.364552,1860.028472,4554.393766,
2020,1,1,20,1245.200396,1406.831418,1797.36634,4449.398154,
2020,1,1,21,1204.657348,1371.391469,1715.770326,4291.819143,
2020,1,1,22,1117.577932,1296.922714,1601.716229,4016.216875,
2020,1,1,23,1031.203612,1210.790178,1465.121797,3707.115587,
2020,1,1,24,991.0131123,1138.564458,1324.019298,3453.596868,
2020,1,2,1,970.9178624,1097.292618,1236.11199,3304.32247,
2020,1,2,2,968.4500247,1082.488588,1187.875672,3238.814285,
2020,1,2,3,977.9688273,1074.86227,1153.614363,3206.44546,
2020,1,2,4,1011.46091,1077.105305,1137.385321,3225.951536,
2020,1,2,5,1097.83523,1097.292618,1145.049035,3340.176883,
2020,1,2,6,1221.227115,1155.162915,1213.120848,3589.510878,
2020,1,2,7,1274.109352,1236.360774,1346.108826,3856.578952,
2020,1,2,8,1224.752598,1215.276247,1426.803227,3866.832072,
2020,1,2,9,1174.690747,1204.061074,1535.447643,3914.199464,
2020,1,2,10,1150.364918,1192.8459,1617.494464,3960.705282,
2020,1,2,11,1128.506927,1185.219581,1686.46789,4000.194398,
2020,1,2,12,1120.750866,1177.593263,1733.802594,4032.146723,
2020,1,2,13,1112.642256,1164.135054,1754.088896,4030.866206,
2020,1,2,14,1101.713261,1163.686447,1784.292945,4049.692653,
2020,1,2,15,1099.245423,1152.91988,1782.940525,4035.105828,
2020,1,2,16,1101.360713,1147.08799,1745.523568,3993.972271,
2020,1,2,17,1163.056655,1215.724854,1735.155014,4113.936523,
2020,1,2,18,1265.295646,1386.644105,1889.330908,4541.270659,
2020,1,2,19,1256.129391,1402.345349,1860.930085,4519.404825,
2020,1,2,20,1222.989857,1397.410672,1775.727618,4396.128147,
2020,1,2,21,1176.10094,1358.830474,1695.484024,4230.415438,
2020,1,2,22,1094.662296,1283.913112,1583.233154,3961.808562,
2020,1,2,23,1009.345621,1206.752715,1438.524201,3654.622537,
2020,1,2,24,963.8668976,1135.872816,1309.142676,3408.88239,
2020,1,3,1,948.7073231,1099.535652,1219.882948,3268.125923,
2020,1,3,2,932.8426522,1086.526051,1172.097438,3191.466141,
2020,1,3,3,940.9512618,1076.656698,1148.204682,3165.812642,
2020,1,3,4,970.9178624,1080.69416,1131.975641,3183.587663,
2020,1,3,5,1049.536121,1102.227294,1131.524834,3283.288249,
2020,1,3,6,1176.10094,1164.583661,1191.482126,3532.166727,
2020,1,3,7,1231.803563,1249.818983,1318.609617,3800.232163,
2020,1,3,8,1203.599703,1222.453959,1405.615312,3831.668974,
2020,1,3,9,1164.819396,1214.82764,1545.365391,3925.012427,
2020,1,3,10,1149.307274,1204.061074,1624.707371,3978.075719,
2020,1,3,11,1139.083375,1192.8459,1708.106612,4040.035887,
2020,1,3,12,1126.391638,1178.490477,1771.219551,4076.101666,
2020,1,3,13,1116.872835,1169.518338,1789.251819,4075.642992,
2020,1,3,14,1110.174419,1154.714308,1816.751028,4081.639755,
2020,1,3,15,1102.770905,1149.779632,1816.751028,4069.301565,
2020,1,3,16,1099.95052,1142.153313,1784.292945,4026.396778,
2020,1,3,17,1141.551212,1085.18023,1749.580829,3976.312271,
2020,1,3,18,1234.2714,1354.344404,1863.184119,4451.799923,
2020,1,3,19,1206.420089,1360.624902,1803.226827,4370.271818,
2020,1,3,20,1166.582138,1341.334802,1718.925973,4226.842913,
2020,1,3,21,1139.788471,1308.586495,1622.904144,4071.27911,
2020,1,3,22,1085.496042,1264.623013,1529.587156,3879.706211,
2020,1,3,23,1014.633845,1211.687392,1413.729832,3640.051069,
2020,1,3,24,967.39238,1150.676846,1306.888643,3424.957869,
2020,1,4,1,947.6496784,1109.853612,1214.924075,3272.427365,
2020,1,4,2,934.2528451,1093.255155,1168.040177,3195.548177,
2020,1,4,3,941.6563582,1086.974658,1130.172414,3158.80343,
2020,1,4,4,953.9955468,1082.937195,1106.730465,3143.663207,
2020,1,4,5,998.7691737,1095.049583,1102.673205,3196.491962,
2020,1,4,6,1062.580406,1120.171572,1127.467574,3310.219552,
2020,1,4,7,1118.988125,1148.882418,1165.335337,3433.20588,
2020,1,4,8,1142.961405,1126.900677,1187.424866,3457.286948,
2020,1,4,9,1136.968085,1138.115851,1271.72572,3546.809656,
2020,1,4,10,1122.513607,1143.050527,1357.378994,3622.943128,
2020,1,4,11,1105.94384,1131.386746,1411.024992,3648.355578,
2020,1,4,12,1083.380752,1106.264757,1434.016134,3623.661643,
2020,1,4,13,1061.170213,1117.928538,1432.663714,3611.762465,
2020,1,4,14,1038.607125,1105.81615,1408.770959,3553.194234,
2020,1,4,15,1034.729095,1099.984259,1384.427396,3519.14075,
2020,1,4,16,1045.305542,1082.937195,1362.337868,3490.580605,
2020,1,4,17,1113.347353,1149.779632,1379.468523,3642.595508,
2020,1,4,18,1206.772637,1322.044703,1543.111357,4071.928697,
2020,1,4,19,1181.741712,1323.839131,1587.741221,4093.322064,
2020,1,4,20,1153.185304,1304.100425,1551.225878,4008.511607,
2020,1,4,21,1112.289708,1274.492366,1506.596014,3893.378088,
2020,1,4,22,1055.529441,1237.257988,1442.581462,3735.368891,
2020,1,4,23,996.301336,1191.051472,1354.223347,3541.576155,
2020,1,4,24,963.1618011,1141.704706,1275.332173,3380.19868,
2020,1,5,1,947.6496784,1106.713364,1200.949067,3255.312109,
2020,1,5,2,941.6563582,1088.320479,1156.319203,3186.29604,
2020,1,5,3,946.5920336,1072.619235,1134.229674,3153.440943,
2020,1,5,4,964.9245423,1071.722021,1118.902246,3155.548809,
2020,1,5,5,999.8268184,1079.348339,1114.844986,3194.020143,
2020,1,5,6,1063.63805,1097.741225,1115.295792,3276.675067,
2020,1,5,7,1124.981445,1117.031324,1134.680481,3376.69325,
2020,1,5,8,1145.429243,1095.049583,1130.62322,3371.102046,
2020,1,5,9,1128.154379,1109.405006,1179.761152,3417.320537,
2020,1,5,10,1108.059129,1121.517393,1230.251503,3459.828025,
2020,1,5,11,1074.919594,1121.517393,1270.3733,3466.810287,
