Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1,
2020,1,1,1,142.8,795.1,480.8,713.2,532.975
2020,1,1,2,139.1,794.4,634.9,712.8,570.3
2020,1,1,3,145.3,773.6,487.3,708.4,528.65
2020,1,1,4,144.8,767.3,432.7,710.7,513.875
2020,1,1,5,137.1,752.2,407.9,701.4,499.65
2020,1,1,6,98.6,719.4,440.2,682.5,485.175
2020,1,1,7,62.2,655.3,377.3,614.7,427.375
2020,1,1,8,47.3,594.6,199.3,517.7,339.725
2020,1,1,9,48.9,579.1,110.6,426.6,291.3
2020,1,1,10,30.7,466.8,3.6,274.2,193.825
2020,1,1,11,27.4,301.4,2.4,93,106.05
2020,1,1,12,60.9,110.7,56.2,6.3,58.525
2020,1,1,13,20.4,78.9,91.5,3.8,48.65
2020,1,1,14,1.6,107.9,103,1.1,53.4
2020,1,1,15,0,22.3,39.7,0,15.5
2020,1,1,16,2.6,24.6,87.7,0,28.725
2020,1,1,17,37.9,10.8,92.3,0.9,35.475
2020,1,1,18,46.9,243.2,89.4,276.3,163.95
2020,1,1,19,24,375.2,90.4,272.9,190.625
2020,1,1,20,24,568.4,81.1,345.6,254.775
2020,1,1,21,27.4,636.1,172.9,411.7,312.025
2020,1,1,22,6.5,719.2,326.9,376.6,357.3
2020,1,1,23,1.3,734.9,256.7,561.3,388.55
2020,1,1,24,0.1,729.1,141.1,568.4,359.675
2020,1,2,1,0.8,757.1,52.6,630,360.125
2020,1,2,2,2.7,753.4,17.4,672.3,361.45
2020,1,2,3,11.4,734.3,8.9,661.3,353.975
2020,1,2,4,18.3,724.2,7,654,350.875
2020,1,2,5,23.6,725.7,11.6,654.4,353.825
2020,1,2,6,24.6,748,23.3,666.4,365.575
2020,1,2,7,10.3,764.3,16.1,686.7,369.35
2020,1,2,8,5.6,764.3,20.5,689.3,369.925
2020,1,2,9,3.7,765.3,35.2,683.8,372
2020,1,2,10,0.8,781.5,33.4,698.6,378.575
2020,1,2,11,0,785.8,22.9,713.5,380.55
2020,1,2,12,0,776.7,31.8,710.3,379.7
2020,1,2,13,0,752.7,79.6,702.2,383.625
2020,1,2,14,0,715.3,82.8,699.2,374.325
2020,1,2,15,0,730,49,686.9,366.475
2020,1,2,16,0,731.5,98.9,695.4,381.45
2020,1,2,17,0.6,747.7,219.6,712.3,420.05
2020,1,2,18,1.4,754.9,89,712.4,389.425
2020,1,2,19,24.8,772,47.5,712.2,389.125
2020,1,2,20,25.3,779.9,0,711.2,379.1
2020,1,2,21,13.2,747.8,2.9,711.9,368.95
2020,1,2,22,10,749.2,175.2,696.7,407.775
2020,1,2,23,35.7,786.5,333.2,689.7,461.275
2020,1,2,24,51.7,789.9,343,666.6,462.8
2020,1,3,1,26.7,779.2,429,658.3,473.3
2020,1,3,2,82.8,788.5,563.7,688.5,530.875
2020,1,3,3,98.4,781.2,781.3,686.9,586.95
2020,1,3,4,132.4,761.7,802.1,675.8,593
2020,1,3,5,80,768.4,696.5,680.5,556.35
2020,1,3,6,108.9,754.6,658.7,677.8,550
2020,1,3,7,107.8,721.8,776.2,666.2,568
2020,1,3,8,106.7,671.1,790.7,694.4,565.725
2020,1,3,9,116.3,563.3,721.2,690.1,522.725
2020,1,3,10,83,551,639.7,690.3,491
2020,1,3,11,65,619.9,567.8,647.2,474.975
2020,1,3,12,114.7,680.2,567.8,698.7,515.35
2020,1,3,13,58.8,568.7,598.4,523.4,437.325
2020,1,3,14,86.1,575.8,688.7,500.1,462.675
2020,1,3,15,82.9,535.6,585.5,481.8,421.45
2020,1,3,16,72.8,465,524.2,491.6,388.4
2020,1,3,17,73.1,526.7,537.6,177.5,328.725
2020,1,3,18,79,87.5,329.9,10.9,126.825
2020,1,3,19,96.5,123.8,286.6,30.1,134.25
2020,1,3,20,92.5,264.8,294.6,96.9,187.2
2020,1,3,21,118.7,400.4,303.2,389.5,302.95
2020,1,3,22,113.8,513.5,330.4,404.6,340.575
2020,1,3,23,120.2,497.4,315.2,354.7,321.875
2020,1,3,24,79.7,219.7,357,414.1,267.625
2020,1,4,1,28.5,52.6,195.5,198.8,118.85
2020,1,4,2,30.6,63.5,94.5,77.5,66.525
2020,1,4,3,23.6,60.1,32.5,33.4,37.4
2020,1,4,4,46.9,73.7,53.4,28.5,50.625
2020,1,4,5,41.4,54.9,154.6,60,77.725
2020,1,4,6,23.1,72.7,108.3,85.3,72.35
2020,1,4,7,18.8,55.9,31.1,82.2,47
2020,1,4,8,20.6,26.4,99.3,70.8,54.275
2020,1,4,9,2.6,15.2,90.9,86.4,48.775
2020,1,4,10,0,45.4,12.9,101.7,40
2020,1,4,11,0,108.7,0,48.2,39.225
2020,1,4,12,0,169.5,8.9,121.2,74.9
2020,1,4,13,4.9,155.7,131.2,243.6,133.85
2020,1,4,14,60.3,159.5,344.6,255.6,205
2020,1,4,15,65,358.7,496.6,452.7,343.25
2020,1,4,16,76.6,304.8,386,441.7,302.275
2020,1,4,17,37.9,154.4,161.5,403.3,189.275
2020,1,4,18,37.8,554.6,327.2,88.9,252.125
2020,1,4,19,105.5,409.6,395.6,557.4,367.025
2020,1,4,20,137.3,614.2,602.7,591.2,486.35
2020,1,4,21,142.9,740.1,822.5,574.5,570
2020,1,4,22,147,774.4,835.8,706.1,615.825
2020,1,4,23,147,796.3,833.3,713.5,622.525
2020,1,4,24,147.4,799.1,839.2,577.2,590.725
2020,1,5,1,146.8,799.1,836.4,587.3,592.4
2020,1,5,2,147,798.4,839.9,627.5,603.2
2020,1,5,3,147.6,799,838.8,602.4,596.95
2020,1,5,4,146.6,799.1,840.7,613.1,599.875
2020,1,5,5,147.5,797.2,839.7,599.4,595.95
2020,1,5,6,147.2,768.4,834.2,630.4,595.05
2020,1,5,7,147.1,729.5,828.3,696.8,600.425
2020,1,5,8,146.6,703.7,807.5,670.3,582.025
2020,1,5,9,145.5,632.8,761.8,663.9,551
2020,1,5,10,146.2,755,715.8,703.3,580.075
2020,1,5,11,140.3,762,554.4,648.4,526.275
2020,1,5,12,101.9,628.3,262,628.7,405.225
2020,1,5,13,78.4,561.4,313,590.8,385.9
2020,1,5,14,70.4,443,299.3,507.3,330
2020,1,5,15,51.1,479.6,291.4,581.4,350.875
2020,1,5,16,53.6,357.2,352.1,433.4,299.075
2020,1,5,17,44.2,249.7,348.1,279.9,230.475
2020,1,5,18,83.6,95.7,162,0,85.325
2020,1,5,19,77.5,136.5,142.6,3.9,90.125
2020,1,5,20,66.9,141.3,264.3,26.2,124.675
2020,1,5,21,20.7,176,172.8,419.8,197.325
2020,1,5,22,14.5,174.1,122.2,563.4,218.55
2020,1,5,23,39,362,162.6,539.6,275.8
2020,1,5,24,86.6,477.9,286.8,658.3,377.4
2020,1,6,1,104,638.4,543.1,650.2,483.925
2020,1,6,2,117.3,570.2,635.4,650.9,493.45
2020,1,6,3,130,601.8,609.1,667.2,502.025
2020,1,6,4,135.1,721.6,723.3,661.2,560.3
2020,1,6,5,123.1,747.2,707.6,651,557.225
2020,1,6,6,104.4,745,765.6,649.7,566.175
2020,1,6,7,96.5,684.6,791.6,639.2,552.975
2020,1,6,8,94.5,705.5,804.7,645.6,562.575
2020,1,6,9,100.3,769.8,810.8,672.2,588.275
2020,1,6,10,132.4,790.9,809.8,695.1,607.05
2020,1,6,11,145.3,793.5,716.4,705.7,590.225
2020,1,6,12,143.2,784.3,669.9,704.1,575.375
2020,1,6,13,136,769.6,599.5,697.1,550.55
2020,1,6,14,123.1,761.4,498.4,688.3,517.8
2020,1,6,15,130.7,759.6,464.2,670.5,506.25
2020,1,6,16,143.2,723.5,521.7,664.4,513.2
2020,1,6,17,130.1,686.8,615.4,664.1,524.1
2020,1,6,18,137.2,689.3,558.6,657.7,510.7
2020,1,6,19,128,686.4,547.1,656.2,504.425
2020,1,6,20,137.8,670.4,518,661,496.8
2020,1,6,21,134.8,660.5,558.5,667.9,505.425
2020,1,6,22,145,740.1,582,678.7,536.45
2020,1,6,23,147.6,789.7,481,700.3,529.65
2020,1,6,24,148.1,799.1,462.1,712.2,530.375
2020,1,7,1,148,799.1,619,713.5,569.9
2020,1,7,2,147.7,789.9,782.8,711.7,608.025
2020,1,7,3,147,796,829.1,711.4,620.875
2020,1,7,4,146.9,796.9,833.8,709.2,621.7
2020,1,7,5,146.4,796.4,836.6,707.3,621.675
